National Grid BMU ID,Elexon BMU ID,BMU Name,Generation Capacity (MW),Fuel Type,Lead Party Name
"NNPW01","2__NNATP001","2__NNATP001",50.000,"WIND","Npower Commercial Gas Limited"
"CMSTW-1","2__PEDGE003","2__PEDGE003",50.000,"WIND","Edgware Energy Limited"
"RSHLW-1","2__PEDGE004","2__PEDGE004",24.700,"WIND","Edgware Energy Limited"
"ROTHW-1","2__PENEC001","Rothes Windfarm",50.600,"WIND","Eneco Energy Trade"
"PAUHW-1","2__PENEC002","Pauls Hill Windfarm",64.400,"WIND","Eneco Energy Trade"
"CAUSW-1","2__PSMAE001","2__PSMAE001",0.000,"WIND","Smartestenergy Limited"
"AG-PSMA01","2__PSMAR001","2__PSMAR001",50.000,"WIND","Smartestenergy Limited"
"CAIRW-2","2__PSTAT001","STAT P2 North Scotland",42.000,"WIND","Statkraft Markets Gmbh"
"MDHLW-1","2__PSTAT002","STAT P3 North Scotland",76.000,"WIND","Statkraft Markets Gmbh"
"ACHLW-1","C__PSMAR001","C__PSMAR001-AAA-ACH-183",9.978,"WIND","Smartestenergy Limited"
"TMNCW-1","C__PSTAT011","C__PSTAT011-AAA-NAN-184",40.000,"WIND","Statkraft Markets Gmbh"
"ABRTW-1","E_ABRTW-1","Auchrobert Wind Farm",36.000,"WIND","Npower Commercial Gas Limited"
"AIRSW-1","E_AIRSW-1","Airies",38.000,"WIND","ENGIE Power Limited"
"ASHWW-1","E_ASHWW-1","Andershaw Wind Farm",35.000,"WIND","Statkraft Markets Gmbh"
"ASLVW-1","E_ASLVW-1","Assel Valley Wind Farm",26.000,"WIND","Npower Commercial Gas Limited"
"BABAW-1","E_BABAW-1","Baillie Wind Farm",52.500,"WIND","Statkraft Markets Gmbh"
"BETHW-1","E_BETHW-1","BETHW-1",29.750,"WIND","SP Renewables (UK) Limited"
"BLARW-1","E_BLARW-1","E_BLARW-1",35.000,"WIND","Erova Energy Limited"
"BNWKW-1","E_BNWKW-1","Burn of Whilk Windfarm",22.500,"WIND","Eneco Energy Trade"
"BRDUW-1","E_BRDUW-1","Braes of Doune",74.000,"WIND","Erova Energy Limited"
"BRYBW-1","E_BRYBW-1","Berry Burn Wind Farm",66.700,"WIND","Statkraft Markets Gmbh"
"BTUIW-2","E_BTUIW-2","Beinn An Tuirc 2",43.700,"WIND","SP Renewables (UK) Limited"
"BTUIW-3","E_BTUIW-3","Beinn an Tuirc III Windfarm",52.000,"WIND","SP Renewables (UK) Limited"
"BURBW-1","E_BURBO","Burbo Offshore Wind",90.000,"WIND","Orsted Burbo (UK) Limited"
"CLDRW-1","E_CLDRW-1","CLDRW-1",37.000,"WIND","Vattenfall Energy Trading"
"CLFLW-1","E_CLFLW-1","Clachan Flats",15.000,"WIND","SP Renewables (UK) Limited"
"CNCLW-1","E_CNCLW-1","Coire Na Cloiche WF",30.520,"WIND","Statkraft Markets Gmbh"
"CRGTW-1","E_CRGTW-1","Craig 2 Wind Farm",4.700,"WIND","British Gas Trading Ltd"
"DALSW-1","E_DALSW-1","Dalswinton Windfarm",30.000,"WIND","Mobius Renewables Gen. (GB)"
"GDSTW-1","E_GDSTW-1","Gordonstown",13.289,"WIND","Mobius Renewables Gen. (GB)"
"GLCHW-1","E_GLCHW-1","Glenchamber",27.440,"WIND","ENGIE Power Limited"
"GLOFW-1","E_GLOFW-1","Glens of Foudland",26.700,"WIND","Glens of Foudland Ltd"
"GRGRW-1","E_GRGRW-1","Greengairs East WF-1",36.000,"WIND","Greengairs East Wind Farm Ltd"
"HBHDW-1","E_HBHDW-1","HARBURNHEADWF",51.700,"WIND","LDV Harburnhead Ltd"
"HLGLW-1","E_HLGLW-1","Hill of Glaschyle",28.000,"WIND","ENGIE Power Limited"
"HLTWW-1","E_HLTWW-1","Hill of Towie",48.000,"WIND","SP Energy Retail Ltd"
"HRHLW-1","E_HRHLW-1","Hare Hill Extension Windfarm",30.000,"WIND","SP Renewables (UK) Limited"
"HYWDW-1","E_HYWDW-1","Hywind Generator BMU1",30.000,"WIND","HYWINDSC"
"KINCW-1","E_KINCW-1","Kincardine Offshore Windfarm",49.600,"WIND","Statkraft Markets Gmbh"
"MINSW-1","E_MINSW-1","Minsca Wind Farm",38.123,"WIND","Mobius Renewables Gen. (GB)"
"MOYEW-1","E_MOYEW-1","Moy Windfarm",60.000,"WIND","Eneco Energy Trade"
"PIBUW-1","E_PIBUW-1","Pines Burn Wind Farm",50.000,"WIND","Npower Commercial Gas Limited"
"SWBKW-1","E_SWBKW-1","Solwaybank WF",30.000,"WIND","Vattenfall Energy Trading"
"TLYMW-1","E_TLYMW-1","Tullymurdoch Wind Farm",14.360,"WIND","ECOTRICITY LIMITED"
"TULWW-1","E_TULWW-1","Tullo Windfarm",17.000,"WIND","Eneco Energy Trade"
"TULWW-2","E_TULWW-2","Tullo Extension",25.000,"WIND","Eneco Energy Trade"
"ABRBO-1","T_ABRBO-1","ABRBO-1",99.000,"WIND","Aberdeen Offshore Wind Farm"
"ACHRW-1","T_ACHRW-1","AChruach Wind Farm",42.600,"WIND","Mobius Renewables Gen. (GB2"
"AFTOW-1","T_AFTOW-1","Afton Wind Farm",50.000,"WIND","Afton Wind Farm Limited"
"AKGLW-2","T_AKGLW-2","AIKENGALL II",63.840,"WIND","Aikengall 2 CWCL"
"AKGLW-3","T_AKGLW-3","AIKENGALL2A-W",163.400,"WIND","AIK2A Sustainable Energy Ltd"
"ANSUW-1","T_ANSUW-1","An Suidhe 1",19.360,"WIND","Statkraft Markets Gmbh"
"ARCHW-1","T_ARCHW-1","Arecleoch",114.000,"WIND","SP Renewables (UK) Limited"
"BDCHW-1","T_BDCHW-1","Bad a Cheo Wind Farm",27.000,"WIND","RWE Generation UK plc"
"BEATO-1","T_BEATO-1","Beatrice Offshore WF 1",138.000,"WIND","Beatrice Offshore Windfarm Ltd"
"BEATO-2","T_BEATO-2","Beatrice Offshore WF 2",184.000,"WIND","Beatrice Offshore Windfarm Ltd"
"BEATO-3","T_BEATO-3","Beatrice Offshore WF 3",184.000,"WIND","Beatrice Offshore Windfarm Ltd"
"BEATO-4","T_BEATO-4","Beatrice Offshore WF 4",166.000,"WIND","Beatrice Offshore Windfarm Ltd"
"BEINW-1","T_BEINW-1","Beinneun Wind farm",108.800,"WIND","Beinneun Wind Farm Ltd"
"BHLAW-1","T_BHLAW-1","Bhlaraidh Windfarm 1",108.000,"WIND","SSE Generation Ltd"
"BLKWW-1","T_BLKWW-1","Blackcraig Windfarm",54.688,"WIND","Blackcraig Wind Farm Limited"
"BLLA-1","T_BLLA-1","T_BLLA-1",118.000,"WIND","SP Renewables (UK) Limited"
"BLLA-2","T_BLLA-2","Black Law Windfarm Extension",69.000,"WIND","SP Renewables (UK) Limited"
"BOWLW-1","T_BOWLW-1","Barrow Offshore Wind",90.000,"WIND","Barrow Offshore Wind Limited"
"BRBEO-1","T_BRBEO-1","BURBO_EXTENSION",257.700,"WIND","Burbo Extension Limited"
"BROCW-1","T_BROCW-1","Broken Cross WF",48.000,"WIND","Smartestenergy Limited"
"CGTHW-1","T_CGTHW-1","Corriegarth WF",69.000,"WIND","Corriegarth Wind Energy LTD"
"CLDCW-1","T_CLDCW-1","Clyde Central",200.000,"WIND","Clyde Windfarm (Scotland) Ltd"
"CLDNW-1","T_CLDNW-1","Clyde North",200.000,"WIND","Clyde Windfarm (Scotland) Ltd"
"CLDSW-1","T_CLDSW-1","Clyde South",150.000,"WIND","Clyde Windfarm (Scotland) Ltd"
"COUWW-1","T_COUWW-1","Cour Wind Farm",20.500,"WIND","Cour Wind farm (Scotland) Ltd"
"CRDEW-1","T_CRDEW-1","Crossdykes WF-1",23.764,"WIND","Crossdykes WF Limited"
"CRDEW-2","T_CRDEW-2","Crossdykes WF-2",23.327,"WIND","Crossdykes WF Limited"
"CREAW-1","T_CREAW-1","Creag Riabhach Wind Farm",93.000,"WIND","Creag Riabhach Wind Farm Ltd"
"CRGHW-1","T_CRGHW-1","Carraig Gheal Wind Farm",46.000,"WIND","Statkraft Markets Gmbh"
"CRMLW-1","T_CRMLW-1","Corriemoillie",47.572,"WIND","EDF Energy Customers Ltd"
"CRYRW-2","T_CRYRW-2","Crystal Rig II Windfarm",149.380,"WIND","Eneco Energy Trade"
"CRYRW-3","T_CRYRW-3","Crystal Rig III",13.800,"WIND","Eneco Energy Trade"
"CUMHW-1","T_CUMHW-1","Cumberhead wind energy limited",49.962,"WIND","EDF Energy Customers Ltd"
"DALQW-1","T_DALQW-1","Dalquhandy  Wind Farm",42.000,"WIND","Statkraft Markets Gmbh"
"DBAWO-1","T_DBAWO-1","Dogger Bank A Offshore WF 1",302.400,"WIND","Doggerbank OWF Project 1"
"DBAWO-2","T_DBAWO-2","Dogger Bank A Offshore WF 2",304.000,"WIND","Doggerbank OWF Project 1"
"DBAWO-3","T_DBAWO-3","Dogger Bank A Offshore WF 3",302.800,"WIND","Doggerbank OWF Project 1"
"DBAWO-4","T_DBAWO-4","Dogger Bank A Offshore WF 4",152.600,"WIND","Doggerbank OWF Project 1"
"DBAWO-5","T_DBAWO-5","Dogger Bank A Offshore WF 5",138.200,"WIND","Doggerbank OWF Project 1"
"DDGNO-1","T_DDGNO-1","Dudgeon Generator BMU 1",108.000,"WIND","Dudgeon Offshore Wind Ltd"
"DDGNO-2","T_DDGNO-2","Dudgeon Generator BMU 2",90.000,"WIND","Dudgeon Offshore Wind Ltd"
"DDGNO-3","T_DDGNO-3","Dudgeon Generator BMU 3",102.000,"WIND","Dudgeon Offshore Wind Ltd"
"DDGNO-4","T_DDGNO-4","Dudgeon Generator BMU 4",102.000,"WIND","Dudgeon Offshore Wind Ltd"
"DNLWW-1","T_DNLWW-1","Dunlaw Extension",29.750,"WIND","SP Renewables (UK) Limited"
"DOREW-1","T_DOREW-1","Dorenell Wind Farm One",156.920,"WIND","Dorenell Windfarm Limited"
"DOREW-2","T_DOREW-2","Dorenell Wind Farm Two",156.920,"WIND","Dorenell Windfarm Limited"
"DOUGW-1","T_DOUGW-1","T-DOUGW-1",45.000,"WIND","Erova Energy Limited"
"DRSLW-1","T_DRSLW-1","Dersalloch Windfarm",69.000,"WIND","SP Renewables (UK) Limited"
"DUNGW-1","T_DUNGW-1","Dunmglass Windfarm 1",100.000,"WIND","Dunmaglass Wind Farm Limited"
"EAAO-1","T_EAAO-1","East Anglia One Offshore 1",358.000,"WIND","East Anglia One Limited"
"EAAO-2","T_EAAO-2","East Anglia One Offshore 2",367.000,"WIND","East Anglia One Limited"
"EDINW-1","T_EDINW-1","Edinbane Windfarm",41.400,"WIND","Vattenfall Wind Power Ltd"
"EWHLW-1","T_EWHLW-1","Ewe Hill II Windfarm",38.000,"WIND","SP Renewables (UK) Limited"
"FALGW-1","T_FALGW-1","Fallago Rig Wind Farm",144.000,"WIND","Fallago Rig Wind Farm Limited"
"FAARW-1","T_FARR-1","Farr Unit 1",92.000,"WIND","Smartestenergy Limited"
"FAARW-2","T_FARR-2","Farr Unit 2",92.000,"WIND","Smartestenergy Limited"
"FSDLW-1","T_FSDLW-1","Freasdail Wind Farm",22.200,"WIND","Freasdail Energy Limited"
"GAOFO-1","T_GANW-11","Galloper OSP 11",88.000,"WIND","Galloper Offshore WindFarm Ltd"
"GAOFO-3","T_GANW-13","Galloper OSP 13",88.000,"WIND","Galloper Offshore WindFarm Ltd"
"GAOFO-2","T_GANW-22","Galloper OSP 22",88.000,"WIND","Galloper Offshore WindFarm Ltd"
"GAOFO-4","T_GANW-24","Galloper OSP 24",88.000,"WIND","Galloper Offshore WindFarm Ltd"
"GLNKW-1","T_GLNKW-1","GLEN KYLLACHY WINDFARM",52.000,"WIND","EDF Energy Customers Ltd"
"GLWSW-1","T_GLWSW-1","Galawhistle Wind Farm",55.200,"WIND","GALAWHISTLE WIND FARM"
"GNAPW-1","T_GNAPW-1","Glen App Windfarm",22.000,"WIND","SP Renewables (UK) Limited"
"GNFSW-1","T_GNFSW-1","Gunfleet Sands 1",108.000,"WIND","Gunfleet Sands Limited"
"GNFSW-2","T_GNFSW-2","Gunfleet Sands 2",64.480,"WIND","Gunfleet Sands II Limited"
"GORDW-1","T_GORDW-1","Gordon Bush",74.206,"WIND","SSE Generation Ltd"
"GORDW-2","T_GORDW-2","Gordonbush WF Extension",50.000,"WIND","SSE Generation Ltd"
"GRGBW-1","T_GRGBW-1","Greater Gabbard Module 1",240.000,"WIND","Greater Gabbard Offshore Winds"
"GRGBW-2","T_GRGBW-2","Greater Gabbard Module 2",240.000,"WIND","Greater Gabbard Offshore Winds"
"GRGBW-3","T_GRGBW-3","Greater Gabbard Module 3",240.000,"WIND","Greater Gabbard Offshore Winds"
"GRIFW-1","T_GRIFW-1","Griffin Wind Farm 1",102.000,"WIND","Griffin Wind Farm Ltd"
"GRIFW-2","T_GRIFW-2","Griffin Wind Farm 2",102.000,"WIND","Griffin Wind Farm Ltd"
"GYMRO-15","T_GYMR-15","GyM OSPE 15",148.000,"WIND","Gwynt y Mor Offshore Wind Farm"
"GYMRO-17","T_GYMR-17","GyM OSPE 17",148.000,"WIND","Gwynt y Mor Offshore Wind Farm"
"GYMRO-26","T_GYMR-26","GyM OSPW 26",148.000,"WIND","Gwynt y Mor Offshore Wind Farm"
"GYMRO-28","T_GYMR-28","GyM OSPW 28",148.000,"WIND","Gwynt y Mor Offshore Wind Farm"
"HADHW-1","T_HADHW-1","Hadyard Hill Wind Farm",130.000,"WIND","SSE Renewables Wind Farms"
"HALSW-1","T_HALSW-1","Halsary Windfarm",30.000,"WIND","SP Renewables (UK) Limited"
"HMGTO-1","T_HMGTO-1","Humber Offshore Wind Farm BMU1",108.000,"WIND","RWE Renewables UK Humber Wind"
"HMGTO-2","T_HMGTO-2","Humber Offshore Wind Farm BMU2",111.000,"WIND","RWE Renewables UK Humber Wind"
"HOWAO-1","T_HOWAO-1","HORNSEA_1A",400.000,"WIND","Hornsea 1 Limited"
"HOWAO-2","T_HOWAO-2","HORNSEA_1B",400.000,"WIND","Hornsea 1 Limited"
"HOWAO-3","T_HOWAO-3","HORNSEA_1C",400.000,"WIND","Hornsea 1 Limited"
"HOWBO-1","T_HOWBO-1","HORNSEA_WF_2A",440.000,"WIND","Breesea Limited"
"HOWBO-2","T_HOWBO-2","HORNSEA_WF_2B",440.000,"WIND","Sonningmay Wind Limited"
"HOWBO-3","T_HOWBO-3","HORNSEA_WF_2C",440.000,"WIND","Soundmark Wind Limited"
"HRSTW-1","T_HRSTW-1","Harestanes",142.300,"WIND","SP Renewables (UK) Limited"
"KENNW-1","T_KENNW-1","Kennoxhead Wind Farm",60.000,"WIND","Kennoxhead Wind Farm Limited"
"KILBW-1","T_KILBW-1","KILBW",68.510,"WIND","Kilbraur Wind Energy Ltd"
"KLGLW-1","T_KLGLW-1","Kilgallioch Windfarm",228.000,"WIND","SP Renewables (UK) Limited"
"KPMRW-1","T_KPMRW-1","KYPE MUIR WIND FARM",89.000,"WIND","OnPath Energy Limited"
"KTHLW-1","T_KTHLW-1","KEITH HILL WINDFARM",4.540,"WIND","Statkraft Markets Gmbh"
"KYPEW-1","T_KYPEW-1","KYPE MUIR EXT WIND FARM",67.000,"WIND","Kype Extension Wind Farm Ltd"
"LARYO-1","T_LARYW-1","London Array BMU1",171.000,"WIND","London Array Limited"
"LARYO-2","T_LARYW-2","London Array BMU2",171.000,"WIND","London Array Limited"
"LARYO-3","T_LARYW-3","London Array BMU3",171.000,"WIND","London Array Limited"
"LARYO-4","T_LARYW-4","London Array BMU4",191.099,"WIND","London Array Limited"
"LCLTW-1","T_LCLTW-1","Lochluichart Windfarm",69.000,"WIND","Eneco Energy Trade"
"LIMKW-1","T_LIMKW-1","Limekiln Wind Farm",106.000,"WIND","Limekiln Extension Ltd"
"LNCSO-1","T_LNCSW-1","Lincs wind farm offshore BMU1",150.000,"WIND","Lincs Wind Farm Ltd"
"LNCSO-2","T_LNCSW-2","Lincs wind farm offshore BMU2",150.000,"WIND","Lincs Wind Farm Ltd"
"MIDMW-1","T_MIDMW-1","MIDDLE MUIR WIND FARM",51.000,"WIND","OnPath Energy Limited"
"MILWW-1","T_MILWW-1","MILWW",65.000,"WIND","Millennium Wind Energy Ltd"
"MKHLW-1","T_MKHLW-1","Mark Hill",53.000,"WIND","SP Renewables (UK) Limited"
"MOWEO-1","T_MOWEO-1","Moray East OWF1",300.000,"WIND","Moray Offshore Wind East Ltd"
"MOWEO-2","T_MOWEO-2","Moray East OWF2",300.000,"WIND","Moray Offshore Wind East Ltd"
"MOWEO-3","T_MOWEO-3","Moray East OWF3",300.000,"WIND","Moray Offshore Wind East Ltd"
"MOWWO-1","T_MOWWO-1","Moray West OWF1",215.000,"WIND","Moray Offshore Wind West Ltd"
"MOWWO-2","T_MOWWO-2","Moray West OWF2",215.000,"WIND","Moray Offshore Wind West Ltd"
"MOWWO-3","T_MOWWO-3","Moray West OWF3",143.000,"WIND","Moray Offshore Wind West Ltd"
"MOWWO-4","T_MOWWO-4","Moray West OWF4",287.000,"WIND","Moray Offshore Wind West Ltd"
"MYGPW-1","T_MYGPW-1","Minnygap Wind Farm",25.000,"WIND","Minnygap Energy Limited"
