National Grid BMU ID,Elexon BMU ID,BMU Name,Generation Capacity (MW),Fuel Type,Lead Party Name
"BRGG-1","E_BRGG-1","Glanford Brigg",50.000,"CCGT","CBS ENERGY STORAGE ASSETS LTD"
"CORB-1","E_CORB-1","CORBY POWER LIMITED",260.000,"CCGT","CORBY POWER LIMITED"
"FAWN-1","E_FAWN-1","Fawley Cogen",155.000,"CCGT","ESSO Petroleum Company Ltd"
"FELL-1","E_FELL-1","E_FELL-1",140.000,"CCGT","NDA"
"GYAR-1","E_GYAR-1","Great Yarmouth Power Limited",420.000,"CCGT","RWE Generation UK plc"
"KLYN-A-1","E_KLYN-A-1","Kings Lynn A",392.000,"CCGT","RWE Generation UK plc"
"PETEM1","E_PETEM1","Peterborough",245.000,"CCGT","River Nene Power Limited"
"SHOS-1","E_SHOS-1","Shoreham Power Station",460.000,"CCGT","VPI Power Limited"
"BAGE-1","T_BAGE-1","BAGE-1",500.000,"CCGT","Baglan Operations Ltd"
"BAGE-2","T_BAGE-2","BAGE-2",32.000,"CCGT","Baglan Operations Ltd"
"CARR-1","T_CARR-1","Carrington Power Ltd - Unit 1",470.000,"CCGT","Carrington Power Ltd"
"CARR-2","T_CARR-2","Carrington Power Ltd - Unit 2",470.000,"CCGT","Carrington Power Ltd"
"CDCL-1","T_CDCL-1","T_CDCL-1",445.000,"CCGT","Uniper UK Limited"
"CNQPS-1","T_CNQPS-1","T_CNQPS-1",351.162,"CCGT","Uniper UK Limited"
"CNQPS-2","T_CNQPS-2","T_CNQPS-2",352.000,"CCGT","Uniper UK Limited"
"CNQPS-3","T_CNQPS-3","T_CNQPS-3",350.000,"CCGT","Uniper UK Limited"
"CNQPS-4","T_CNQPS-4","T_CNQPS-4",356.000,"CCGT","Uniper UK Limited"
"COSO-1","T_COSO-1","Coryton Power Station",800.000,"CCGT","Coryton Energy Company Ltd"
"DAMC-1","T_DAMC-1","Damhead Creek Ltd.",820.000,"CCGT","VPI Power Limited"
"DIDCB5","T_DIDCB5","Didcot B main unit 5",770.000,"CCGT","RWE Generation UK plc"
