National Grid BMU ID,Elexon BMU ID,BMU Name,Generation Capacity (MW),Fuel Type,Reactor Type,Lead Party Name,Region
"DNGB21","T_DNGB21","Dungeness B Generator 21",0.000,"NUCLEAR","Unknown","EDF Energy Customers Limited",""
"DNGB22","T_DNGB22","Dungeness B Generator 22",0.000,"NUCLEAR","Unknown","EDF Energy Customers Limited",""
"HEYM11","T_HEYM11","Heysham 1 Generator 1",610.000,"NUCLEAR","Unknown","EDF Energy Nuclear Generation",""
"HEYM12","T_HEYM12","Heysham 1 Generator 2",585.000,"NUCLEAR","Unknown","EDF Energy Nuclear Generation",""
"HEYM27","T_HEYM27","Heysham 2 Generator 7",660.000,"NUCLEAR","Unknown","EDF Energy Nuclear Generation",""
"HEYM28","T_HEYM28","Heysham 2 Generator 8",660.000,"NUCLEAR","Unknown","EDF Energy Nuclear Generation",""
"HINB-7","T_HINB-7","Hinkley Point B Generator 7",0.000,"NUCLEAR","Unknown","EDF Energy Nuclear Generation",""
"HINB-8","T_HINB-8","Hinkley Point B Generator 8",0.000,"NUCLEAR","Unknown","EDF Energy Nuclear Generation",""
"HRTL-1","T_HRTL-1","Hartlepool Generator 1",620.000,"NUCLEAR","Unknown","EDF Energy Nuclear Generation",""
"HRTL-2","T_HRTL-2","Hartlepool Generator 2",620.000,"NUCLEAR","Unknown","EDF Energy Nuclear Generation",""
"HUNB-7","T_HUNB-7","Hunterston B Generator 7",510.000,"NUCLEAR","Unknown","EDF Energy Nuclear Generation",""
"HUNB-8","T_HUNB-8","Hunterston B Generator 8",510.000,"NUCLEAR","Unknown","EDF Energy Nuclear Generation",""
"SIZB-1","T_SIZB-1","Sizewell B Genrator 1",630.000,"NUCLEAR","Unknown","EDF Energy Nuclear Generation",""
"SIZB-2","T_SIZB-2","Sizewell B Genrator 2",630.000,"NUCLEAR","Unknown","EDF Energy Nuclear Generation",""
"TORN-1","T_TORN-1","Torness Generator 1",652.000,"NUCLEAR","Unknown","EDF Energy Nuclear Generation",""
"TORN-2","T_TORN-2","Torness Generator 2",700.000,"NUCLEAR","Unknown","EDF Energy Nuclear Generation",""
