National Grid BMU ID,Elexon BMU ID,BMU Name,Generation Capacity (MW),Fuel Type,Lead Party Name
"AG-NFLX01","2__NFLEX001","2__NFLEX001",49.000,"SOLAR","Flexitricity Limited"
"AG-NFLX09","2__NFLEX009","2__NFLEX009",49.000,"SOLAR","Flexitricity Limited"
"AG-PFLX01","2__PFLEX001","2__PFLEX001",49.000,"SOLAR","Flexitricity Limited"
"AG-PFLX02","2__PFLEX002","2__PFLEX002",49.000,"SOLAR","Flexitricity Limited"
"AG-PEDF01","2__PLOND001","EDFE Aggregate N Scot 1",50.000,"SOLAR","EDF Energy Customers Limited"
"BLHLB-1","T_BLHLB-1","T_BLHLB-1",50.000,"SOLAR","ZENOBE BLACKHILLOCK LIMITED"
"BLHLB-2","T_BLHLB-2","T_BLHLB-2",50.420,"SOLAR","ZENOBE BLACKHILLOCK LIMITED"
"BLHLB-3","T_BLHLB-3","T_BLHLB-3",54.000,"SOLAR","ZENOBE BLACKHILLOCK LIMITED"
"BLHLB-4","T_BLHLB-4","T_BLHLB-4",54.420,"SOLAR","ZENOBE BLACKHILLOCK LIMITED"
"BRCHS-1","T_BRCHS-1","T_BRCHS-1",50.000,"SOLAR","Burwell 11 Solar Ltd"
"BURWS-1","T_BURWS-1","Beechgreen Energy Farm",50.067,"SOLAR","EDF Energy Customers Limited"
"CLVHS-1","T_CLVHS-1","Cleve Hill Solar 1",112.000,"SOLAR","Cleve Hill Solar Park"
"CLVHS-2","T_CLVHS-2","Cleve Hill Solar 2",205.000,"SOLAR","Cleve Hill Solar Park"
"COVNB-1","T_COVNB-1","Pivot Power Coventry",49.900,"SOLAR","Pivoted Power LLP"
"LARKS-1","T_LARKS-1","Larks Green Solar",49.900,"SOLAR","Cero Generation Services Ltd"
"PINFB-1","T_PINFB-1","T_PINFB-1",27.080,"SOLAR","Zenobe Capenhurst Limited"
"PINFB-2","T_PINFB-2","T_PINFB-2",26.000,"SOLAR","Zenobe Capenhurst Limited"
"PINFB-3","T_PINFB-3","T_PINFB-3",26.000,"SOLAR","Zenobe Capenhurst Limited"
"PINFB-4","T_PINFB-4","T_PINFB-4",26.000,"SOLAR","Zenobe Capenhurst Limited"
"RICHB-1","T_RICHB-1","Richborough Energy Park 1",49.900,"SOLAR","Limejump Energy Limited"
"RICHB-2","T_RICHB-2","Richborough Energy Park 2",49.900,"SOLAR","Limejump Energy Limited"
"SUTBS-1","T_SUTBS-1","Sutton Bridge Solar Farm",50.000,"SOLAR","EDF Energy Customers Limited"
"TEBWS-1","T_TEBWS-1","Tebworth PV Power Park",39.900,"SOLAR","Sundon Green Limited"
"AG-HEL0DN","V__NHABI005","Camilla",0.000,"SOLAR","Habitat Energy Limited"
"AG-HEL0CP","V__PHABI004","Fordtown",0.000,"SOLAR","Habitat Energy Limited"
"AG-HEL0EP","V__PHABI006","Glendevon",0.000,"SOLAR","Habitat Energy Limited"
